id,resume_id,job_id,degree,field,institution,year,job_requirements,candidate_skills,job_skills,is_match,expected_score_min,expected_score_max
1,resume_000001,job_0002,High School,Biology,Boston University,2010,Bachelors in any field,Git|Debugging|Agile,Testing|Debugging|Git,False,0.0,0.4
2,resume_000002,job_0003,High School,Mathematics,State University,2007,Bachelors in Information Technology,Go|Django|Ruby|Java,Django|Java|Ruby,False,0.0,0.4
3,resume_000003,job_0004,Bachelors,English Literature,Tech University,2013,Masters in Software Engineering,JavaScript|Python|Vue.js|C++,JavaScript|Flask|C++|Java,False,0.0,0.4
4,resume_000004,job_0005,High School,Information Technology,University of Maryland,2007,Bachelors in any field,CI/CD|Scrum|Agile|Testing|Debugging|Git,Git|Scrum|CI/CD,False,0.0,0.4
5,resume_000005,job_0006,BSc,Software Engineering,Local Institute,2016,Bachelors in Information Technology,Rust|Node.js|React|Flask,Flask|HTML|Angular|Go,False,0.0,0.4
6,resume_000006,job_0007,Bachelors,Finance,Local Institute,2011,PhD in Artificial Intelligence|Research experience required|Publications preferred,Tableau|JavaScript|NLP|Data Analysis|SQL|TensorFlow,Python|C++|PostgreSQL|TensorFlow|Scikit-learn,False,0.0,0.4
7,resume_000007,job_0008,Doctorate,Business Administration,University of Michigan,2021,Bachelors in Software Engineering,Angular|Flask|Vue.js,Go|JavaScript|Ruby|Django|HTML,False,0.0,0.4
8,resume_000008,job_0009,Associate,English Literature,State University,2019,PhD in Data Science|Research experience required|Publications preferred,Rust|Java|PowerBI|JavaScript|PostgreSQL,NoSQL|JavaScript|PostgreSQL|C#|Data Analysis,False,0.0,0.4
9,resume_000009,job_0010,Diploma,Finance,Engineering College,2014,Diploma in any field,Debugging|Agile|Scrum|Testing|CI/CD|Git,CI/CD|Git|Agile|Testing|Scrum,False,0.0,0.4
10,resume_000010,job_0011,High School,Physics,University of Washington,2005,Doctorate in Computer Science|Research experience required|Publications preferred,Rust|TensorFlow|NoSQL|Go|C#|Data Analysis|C++,Computer Vision|Go|C++|Data Analysis,False,0.0,0.4
11,resume_000011,job_0012,Diploma,Electrical Engineering,Online University,2016,Masters in Computer Science|Research experience required|Publications preferred,NLP|Scikit-learn|C++,Go|PowerBI|PostgreSQL,False,0.0,0.4
12,resume_000012,job_0013,Bachelors,Information Technology,Local Institute,2013,Doctorate in Physics|Research experience required|Publications preferred,Java|PostgreSQL|Python,Rust|Ruby|Computer Vision,False,0.0,0.4
13,resume_000013,job_0014,BTech,English Literature,State University,2012,Bachelors in Information Technology,Flask|Node.js|HTML|Django|React,CSS|JavaScript|C++|C#|Flask,False,0.0,0.4
14,resume_000014,job_0015,Bachelors,Business Administration,University of Michigan,2005,Masters in Computer Science|5+ years experience,NLP|C++|Data Analysis|Rust,Tableau|Java|JavaScript|Computer Vision|MongoDB,False,0.0,0.4
15,resume_000015,job_0016,High School,Mechanical Engineering,Boston University,2009,Bachelors in Computer Science,HTML|Angular|CSS,JavaScript|React|C++,False,0.0,0.4
16,resume_000016,job_0017,High School,Software Engineering,Regional University,2010,Bachelors in any Engineering,Python|Vue.js|Flask|React|C#|HTML|Java,React|Java|HTML,False,0.0,0.4
17,resume_000017,job_0018,Associate,Artificial Intelligence,Regional University,2014,Bachelors in Software Engineering,CSS|C#|Flask|Python|Java,Flask|CSS|C#|Python|Django,False,0.0,0.4
18,resume_000018,job_0019,BSc,Artificial Intelligence,NUS Singapore,2017,Bachelors in Computer Science,C#|React|Python,C#|Go|JavaScript|Python,False,0.0,0.4
19,resume_000019,job_0020,Masters,English Literature,Community College,2013,Doctorate in Physics|Research experience required|Publications preferred,Tableau|C#|Rust|Ruby|PostgreSQL|Computer Vision,Ruby|Scikit-learn|Computer Vision,False,0.0,0.4
20,resume_000020,job_0021,High School,Biology,University of Illinois,2005,Bachelors in Computer Science,Node.js|C#|Flask|Django|C++|CSS,Go|CSS|Ruby,False,0.0,0.4
21,resume_000021,job_0022,BSc,Electrical Engineering,Boston University,2018,Diploma in any field,Scrum|Agile|Debugging,Git|Testing|CI/CD,False,0.0,0.4
22,resume_000022,job_0023,High School,English Literature,Cornell University,2005,Bachelors in any Engineering,Go|Ruby|CSS|Java|Vue.js|HTML|Angular,C++|Node.js|C#|React,False,0.0,0.4
23,resume_000023,job_0024,BSc,Mechanical Engineering,NUS Singapore,2014,MBA in Data Science|5+ years experience,Tableau|Data Analysis|PyTorch|NLP,Python|PyTorch|Tableau|Go|Computer Vision,False,0.0,0.4
24,resume_000024,job_0025,Associate,Physics,Community College,2017,Bachelors in Data Science|5+ years experience,JavaScript|PyTorch|MongoDB|Scikit-learn,Rust|PyTorch|PowerBI,False,0.0,0.4
25,resume_000025,job_0026,PhD,Software Engineering,Penn State,2019,Doctorate in Mathematics|Research experience required|Publications preferred,Go|NLP|NoSQL|Tableau|Rust|C#|Scikit-learn,Python|C++|Computer Vision|Rust|Ruby,False,0.0,0.4
26,resume_000026,job_0027,High School,Psychology,Penn State,2007,Bachelors in Information Technology,Flask|CSS|React|Rust|JavaScript|Django|Vue.js,Rust|Flask|Vue.js|C#,False,0.0,0.4
27,resume_000027,job_0028,Diploma,Physics,City College,2014,Bachelors in Information Technology,Vue.js|HTML|React|Java|JavaScript,Rust|Go|Node.js,False,0.0,0.4
28,resume_000028,job_0029,PhD,Mechanical Engineering,UC Berkeley,2015,Bachelors in Computer Science,Django|HTML|CSS|Angular|Node.js|Python,Django|Rust|Python|Ruby|C#,False,0.0,0.4
29,resume_000029,job_0030,BTech,Finance,NUS Singapore,2021,Bachelors in any field,Scrum|CI/CD|Testing|Git,Scrum|CI/CD|Agile|Testing,False,0.0,0.4
30,resume_000030,job_0031,PhD,English Literature,UC Berkeley,2019,PhD in Mathematics|Research experience required|Publications preferred,SQL|Ruby|Java|TensorFlow,Scikit-learn|Go|SQL|PowerBI,False,0.0,0.4
31,resume_000031,job_0032,BTech,Information Technology,University of Illinois,2014,Bachelors in any Engineering,Java|Ruby|C++|Vue.js|CSS|Django|Python,Rust|C++|Flask,False,0.0,0.4
32,resume_000032,job_0033,Bachelors,Software Engineering,Regional University,2017,Bachelors in Software Engineering,C++|Django|Flask|JavaScript|C#|Java|Angular,Angular|CSS|Vue.js,True,0.8,1.0
33,resume_000033,job_0034,Bachelors,Data Science,City College,2011,Bachelors in Software Engineering,Node.js|React|Go,Node.js|Java|React|Vue.js|Ruby,False,0.0,0.4
34,resume_000034,job_0035,MBA,Data Science,UC Berkeley,2015,Bachelors in Information Technology,React|Angular|Django|CSS,HTML|Go|Flask|Node.js,False,0.0,0.4
35,resume_000035,job_0036,Diploma,Electrical Engineering,City College,2023,Masters in Computer Science,Django|Ruby|Python|Rust|HTML|JavaScript,Go|Ruby|Django|C#,False,0.0,0.4
36,resume_000036,job_0037,BSc,Finance,State University,2018,PhD in Mathematics|Research experience required|Publications preferred,PostgreSQL|Rust|NoSQL|Data Analysis|SQL|Python,PyTorch|Rust|NLP,False,0.0,0.4
37,resume_000037,job_0038,Bachelors,Information Technology,Community College,2017,Masters in Software Engineering,Vue.js|Ruby|Node.js|Rust|C#|Flask|CSS,C++|Node.js|CSS,False,0.0,0.4
38,resume_000038,job_0039,Bachelors,Software Engineering,City College,2021,Diploma in any field,Scrum|Agile|Debugging|Git,Git|Testing|Agile|CI/CD,False,0.0,0.4
39,resume_000039,job_0040,Masters,Biology,Harvard University,2020,Bachelors in Computer Science,Angular|Rust|HTML|Flask|Ruby|JavaScript|Python,CSS|Java|Flask|HTML,False,0.0,0.4
40,resume_000040,job_0041,Masters,Artificial Intelligence,Engineering College,2022,Bachelors in Computer Science,Flask|Angular|HTML,Rust|Django|React|Go|CSS,False,0.0,0.4
41,resume_000041,job_0042,BTech,Information Technology,State University,2019,PhD in Artificial Intelligence|Research experience required|Publications preferred,JavaScript|Ruby|Rust|Tableau|PowerBI,Python|Computer Vision|SQL,False,0.0,0.4
42,resume_000042,job_0043,High School,Biology,Local Institute,2005,MBA in Software Engineering|5+ years experience,C++|PostgreSQL|Rust|C#|TensorFlow|Tableau,Java|Ruby|PyTorch,False,0.0,0.4
43,resume_000043,job_0044,High School,Biology,Online University,2009,Diploma in any field,Testing|Git|CI/CD,Scrum|Testing|Debugging|Git|CI/CD,False,0.0,0.4
44,resume_000044,job_0045,Bachelors,Computer Science,Penn State,2021,Bachelors in Computer Science,Flask|Vue.js|CSS|Rust|Java|Django|Ruby,Vue.js|Ruby|CSS|Java,True,0.8,1.0
45,resume_000045,job_0046,MBA,Information Technology,Boston University,2016,Bachelors in any field,Scrum|Debugging|Testing,CI/CD|Testing|Git,False,0.0,0.4
46,resume_000046,job_0047,High School,Electrical Engineering,Local Institute,2005,MBA in Software Engineering|5+ years experience,SQL|NoSQL|C++|Python|Rust,Ruby|PyTorch|PostgreSQL|Python|Computer Vision,False,0.0,0.4
